Date Administered,* Jurisdiction,COVID-19 Doses Administered
1/16/2021,Unknown Jurisdiction,116
1/15/2021,Unknown Jurisdiction,496
1/14/2021,Unknown Jurisdiction,446
1/13/2021,Unknown Jurisdiction,457
1/12/2021,Unknown Jurisdiction,407
1/11/2021,Unknown Jurisdiction,334
1/10/2021,Unknown Jurisdiction,19
1/9/2021,Unknown Jurisdiction,130
1/8/2021,Unknown Jurisdiction,432
1/7/2021,Unknown Jurisdiction,368
1/6/2021,Unknown Jurisdiction,443
1/5/2021,Unknown Jurisdiction,381
1/4/2021,Unknown Jurisdiction,385
1/3/2021,Unknown Jurisdiction,50
1/2/2021,Unknown Jurisdiction,20
1/1/2021,Unknown Jurisdiction,8
12/31/2020,Unknown Jurisdiction,130
12/30/2020,Unknown Jurisdiction,215
12/29/2020,Unknown Jurisdiction,251
12/28/2020,Unknown Jurisdiction,217
12/27/2020,Unknown Jurisdiction,81
12/26/2020,Unknown Jurisdiction,52
12/24/2020,Unknown Jurisdiction,16
12/23/2020,Unknown Jurisdiction,208
12/22/2020,Unknown Jurisdiction,166
12/21/2020,Unknown Jurisdiction,148
12/20/2020,Unknown Jurisdiction,6
12/19/2020,Unknown Jurisdiction,66
12/18/2020,Unknown Jurisdiction,178
12/17/2020,Unknown Jurisdiction,207
12/16/2020,Unknown Jurisdiction,11
12/15/2020,Unknown Jurisdiction,7
12/14/2020,Unknown Jurisdiction,2
5/27/2021,Wright,10
5/26/2021,Wright,15
5/25/2021,Wright,26
5/24/2021,Wright,30
5/23/2021,Wright,5
5/22/2021,Wright,12
5/21/2021,Wright,14
5/20/2021,Wright,27
5/19/2021,Wright,31
5/18/2021,Wright,55
5/17/2021,Wright,33
5/16/2021,Wright,5
5/15/2021,Wright,19
5/14/2021,Wright,24
5/13/2021,Wright,31
5/12/2021,Wright,42
5/11/2021,Wright,26
5/10/2021,Wright,24
5/9/2021,Wright,7
5/8/2021,Wright,24
5/7/2021,Wright,62
5/6/2021,Wright,40
5/5/2021,Wright,53
5/4/2021,Wright,79
5/3/2021,Wright,40
5/2/2021,Wright,2
5/1/2021,Wright,44
4/30/2021,Wright,35
4/29/2021,Wright,23
4/28/2021,Wright,77
4/27/2021,Wright,39
4/26/2021,Wright,30
4/25/2021,Wright,14
4/24/2021,Wright,26
4/23/2021,Wright,74
4/22/2021,Wright,51
4/21/2021,Wright,51
4/20/2021,Wright,64
4/19/2021,Wright,34
4/18/2021,Wright,1
4/17/2021,Wright,15
4/16/2021,Wright,72
4/15/2021,Wright,53
4/14/2021,Wright,108
4/13/2021,Wright,174
4/12/2021,Wright,89
4/11/2021,Wright,16
4/10/2021,Wright,63
4/9/2021,Wright,144
4/8/2021,Wright,90
4/7/2021,Wright,138
4/6/2021,Wright,85
4/5/2021,Wright,40
4/4/2021,Wright,1
4/3/2021,Wright,24
4/2/2021,Wright,41
4/1/2021,Wright,102
3/31/2021,Wright,93
3/30/2021,Wright,100
3/29/2021,Wright,29
3/28/2021,Wright,12
3/27/2021,Wright,152
3/26/2021,Wright,102
3/25/2021,Wright,110
3/24/2021,Wright,171
3/23/2021,Wright,71
3/22/2021,Wright,48
3/21/2021,Wright,5
3/20/2021,Wright,15
3/19/2021,Wright,120
3/18/2021,Wright,75
3/17/2021,Wright,94
3/16/2021,Wright,167
3/15/2021,Wright,56
3/14/2021,Wright,1
3/13/2021,Wright,103
3/12/2021,Wright,64
3/11/2021,Wright,71
3/10/2021,Wright,102
3/9/2021,Wright,137
3/8/2021,Wright,65
3/7/2021,Wright,9
3/6/2021,Wright,33
3/5/2021,Wright,71
3/4/2021,Wright,123
3/3/2021,Wright,167
3/2/2021,Wright,130
3/1/2021,Wright,32
2/28/2021,Wright,3
2/27/2021,Wright,181
2/26/2021,Wright,98
2/25/2021,Wright,50
2/24/2021,Wright,156
2/23/2021,Wright,86
2/22/2021,Wright,20
2/21/2021,Wright,5
2/20/2021,Wright,1
2/19/2021,Wright,67
2/18/2021,Wright,20
2/17/2021,Wright,5
2/16/2021,Wright,28
2/15/2021,Wright,3
2/14/2021,Wright,2
2/13/2021,Wright,107
2/12/2021,Wright,98
2/11/2021,Wright,70
2/10/2021,Wright,71
2/9/2021,Wright,111
2/8/2021,Wright,26
2/7/2021,Wright,1
2/6/2021,Wright,73
2/5/2021,Wright,105
2/4/2021,Wright,80
2/3/2021,Wright,102
2/2/2021,Wright,20
2/1/2021,Wright,16
1/30/2021,Wright,16
1/29/2021,Wright,86
1/28/2021,Wright,47
1/27/2021,Wright,103
1/26/2021,Wright,28
1/25/2021,Wright,19
1/23/2021,Wright,38
1/22/2021,Wright,31
1/21/2021,Wright,12
1/20/2021,Wright,18
1/19/2021,Wright,26
1/18/2021,Wright,10
1/17/2021,Wright,3
1/16/2021,Wright,5
1/15/2021,Wright,15
1/14/2021,Wright,7
1/13/2021,Wright,9
1/12/2021,Wright,9
1/11/2021,Wright,8
1/10/2021,Wright,1
1/9/2021,Wright,2
1/8/2021,Wright,14
1/7/2021,Wright,31
1/6/2021,Wright,21
1/5/2021,Wright,9
1/4/2021,Wright,7
1/2/2021,Wright,7
1/1/2021,Wright,1
12/31/2020,Wright,4
12/30/2020,Wright,48
12/29/2020,Wright,32
12/28/2020,Wright,5
12/27/2020,Wright,1
12/26/2020,Wright,7
12/24/2020,Wright,4
12/23/2020,Wright,21
12/22/2020,Wright,10
12/21/2020,Wright,3
12/20/2020,Wright,1
12/17/2020,Wright,1
12/16/2020,Wright,10
5/27/2021,Worth,2
5/25/2021,Worth,3
5/24/2021,Worth,2
5/22/2021,Worth,3
5/21/2021,Worth,1
5/20/2021,Worth,3
5/19/2021,Worth,3
5/17/2021,Worth,5
5/16/2021,Worth,1
5/14/2021,Worth,11
5/13/2021,Worth,4
5/12/2021,Worth,2
5/8/2021,Worth,1
5/7/2021,Worth,1
5/6/2021,Worth,1
5/4/2021,Worth,1
5/3/2021,Worth,9
5/1/2021,Worth,3
4/30/2021,Worth,4
4/29/2021,Worth,5
4/28/2021,Worth,3
4/27/2021,Worth,1
4/25/2021,Worth,1
4/24/2021,Worth,1
4/23/2021,Worth,13
4/22/2021,Worth,17
4/21/2021,Worth,1
4/20/2021,Worth,3
4/16/2021,Worth,2
4/15/2021,Worth,8
4/14/2021,Worth,6
4/13/2021,Worth,2
4/12/2021,Worth,11
4/11/2021,Worth,1
4/10/2021,Worth,1
4/9/2021,Worth,20
4/8/2021,Worth,8
4/7/2021,Worth,4
4/6/2021,Worth,1
4/2/2021,Worth,17
4/1/2021,Worth,1
3/31/2021,Worth,8
3/30/2021,Worth,3
3/27/2021,Worth,2
3/26/2021,Worth,20
3/25/2021,Worth,4
3/24/2021,Worth,10
3/23/2021,Worth,1
3/22/2021,Worth,3
3/20/2021,Worth,1
