county,date,vaccines_started,vaccines_completed
Ashtabula,2021-02-24,371,238
Ashtabula,2021-02-25,719,364
Ashtabula,2021-02-26,306,310
Ashtabula,2021-02-27,195,222
Ashtabula,2021-02-28,55,22
Ashtabula,2021-03-01,147,82
Ashtabula,2021-03-02,276,179
Ashtabula,2021-03-03,482,262
Ashtabula,2021-03-04,768,667
Ashtabula,2021-03-05,389,602
Ashtabula,2021-03-06,288,362
Ashtabula,2021-03-07,329,311
Ashtabula,2021-03-08,321,384
Ashtabula,2021-03-09,486,339
Ashtabula,2021-03-10,535,316
Ashtabula,2021-03-11,977,477
Ashtabula,2021-03-12,511,554
Ashtabula,2021-03-13,1219,707
Ashtabula,2021-03-14,166,116
Ashtabula,2021-03-15,307,113
Ashtabula,2021-03-16,417,143
Ashtabula,2021-03-17,362,263
Ashtabula,2021-03-18,883,275
Ashtabula,2021-03-19,300,274
Ashtabula,2021-03-20,177,177
Ashtabula,2021-03-21,53,43
Ashtabula,2021-03-22,649,124
Ashtabula,2021-03-23,314,259
Ashtabula,2021-03-24,517,216
Ashtabula,2021-03-25,335,775
Ashtabula,2021-03-26,498,307
Ashtabula,2021-03-27,544,212
Ashtabula,2021-03-28,67,55
Ashtabula,2021-03-29,151,161
Ashtabula,2021-03-30,870,293
Ashtabula,2021-03-31,533,506
Ashtabula,2021-04-01,596,711
Ashtabula,2021-04-02,275,239
Ashtabula,2021-04-03,519,253
Ashtabula,2021-04-04,45,65
Ashtabula,2021-04-05,204,242
Ashtabula,2021-04-06,398,417
Ashtabula,2021-04-07,566,389
Ashtabula,2021-04-08,575,701
Ashtabula,2021-04-09,293,323
Ashtabula,2021-04-10,662,597
Ashtabula,2021-04-11,60,101
Ashtabula,2021-04-12,111,265
Ashtabula,2021-04-13,401,317
Ashtabula,2021-04-14,230,295
Ashtabula,2021-04-15,169,754
Ashtabula,2021-04-16,213,279
Ashtabula,2021-04-17,386,126
Ashtabula,2021-04-18,27,58
Ashtabula,2021-04-19,68,608
Ashtabula,2021-04-20,154,297
Ashtabula,2021-04-21,130,505
Ashtabula,2021-04-22,177,277
Ashtabula,2021-04-23,155,264
Ashtabula,2021-04-24,208,507
Ashtabula,2021-04-25,60,41
Ashtabula,2021-04-26,127,106
Ashtabula,2021-04-27,248,709
Ashtabula,2021-04-28,186,433
Ashtabula,2021-04-29,190,445
Ashtabula,2021-04-30,141,358
Ashtabula,2021-05-01,195,571
Ashtabula,2021-05-02,60,54
Ashtabula,2021-05-03,67,107
Ashtabula,2021-05-04,137,262
Ashtabula,2021-05-05,125,326
Ashtabula,2021-05-06,187,697
Ashtabula,2021-05-07,156,341
Ashtabula,2021-05-08,147,467
Ashtabula,2021-05-09,19,35
Ashtabula,2021-05-10,55,71
Ashtabula,2021-05-11,128,352
Ashtabula,2021-05-12,96,197
Ashtabula,2021-05-13,142,199
Ashtabula,2021-05-14,218,173
Ashtabula,2021-05-15,181,360
Ashtabula,2021-05-16,73,32
Ashtabula,2021-05-17,176,96
Ashtabula,2021-05-18,276,298
Ashtabula,2021-05-19,221,186
Ashtabula,2021-05-20,237,218
Ashtabula,2021-05-21,197,186
Ashtabula,2021-05-22,192,183
Ashtabula,2021-05-23,45,55
Ashtabula,2021-05-24,127,102
Ashtabula,2021-05-25,150,210
Ashtabula,2021-05-26,122,106
Ashtabula,2021-05-27,161,208
Ashtabula,2021-05-28,55,58
Athens,2020-12-14,0,0
Athens,2020-12-15,1,0
Athens,2020-12-16,2,0
Athens,2020-12-17,0,0
Athens,2020-12-18,33,0
Athens,2020-12-19,0,0
Athens,2020-12-20,0,0
Athens,2020-12-21,8,0
Athens,2020-12-22,26,0
Athens,2020-12-23,303,0
Athens,2020-12-24,16,0
Athens,2020-12-25,0,0
Athens,2020-12-26,9,0
Athens,2020-12-27,4,0
Athens,2020-12-28,115,0
Athens,2020-12-29,139,0
Athens,2020-12-30,60,0
Athens,2020-12-31,72,3
Athens,2021-01-01,4,0
Athens,2021-01-02,12,0
Athens,2021-01-03,0,0
Athens,2021-01-04,53,2
Athens,2021-01-05,47,1
Athens,2021-01-06,40,4
Athens,2021-01-07,233,0
Athens,2021-01-08,144,33
Athens,2021-01-09,9,0
Athens,2021-01-10,3,1
Athens,2021-01-11,26,0
Athens,2021-01-12,62,6
Athens,2021-01-13,188,57
Athens,2021-01-14,133,3
Athens,2021-01-15,304,10
Athens,2021-01-16,22,1
Athens,2021-01-17,0,1
Athens,2021-01-18,71,58
Athens,2021-01-19,86,82
Athens,2021-01-20,119,37
Athens,2021-01-21,563,162
Athens,2021-01-22,303,40
Athens,2021-01-23,53,3
Athens,2021-01-24,9,3
Athens,2021-01-25,127,69
Athens,2021-01-26,106,56
Athens,2021-01-27,252,64
Athens,2021-01-28,550,61
Athens,2021-01-29,134,20
Athens,2021-01-30,32,4
Athens,2021-01-31,4,4
Athens,2021-02-01,96,31
Athens,2021-02-02,85,57
Athens,2021-02-03,126,82
Athens,2021-02-04,327,225
Athens,2021-02-05,985,132
Athens,2021-02-06,44,15
Athens,2021-02-07,20,3
Athens,2021-02-08,75,66
Athens,2021-02-09,117,61
Athens,2021-02-10,138,145
Athens,2021-02-11,341,349
Athens,2021-02-12,438,471
Athens,2021-02-13,70,22
Athens,2021-02-14,20,2
Athens,2021-02-15,46,12
Athens,2021-02-16,28,17
Athens,2021-02-17,229,243
Athens,2021-02-18,344,550
Athens,2021-02-19,51,156
Athens,2021-02-20,1,45
Athens,2021-02-21,14,17
Athens,2021-02-22,71,117
Athens,2021-02-23,141,133
Athens,2021-02-24,327,125
Athens,2021-02-25,393,298
Athens,2021-02-26,117,911
Athens,2021-02-27,49,59
Athens,2021-02-28,16,6
Athens,2021-03-01,89,61
Athens,2021-03-02,86,60
Athens,2021-03-03,390,126
Athens,2021-03-04,189,391
Athens,2021-03-05,555,541
Athens,2021-03-06,73,68
Athens,2021-03-07,27,21
Athens,2021-03-08,147,138
Athens,2021-03-09,666,322
Athens,2021-03-10,597,239
Athens,2021-03-11,529,700
Athens,2021-03-12,245,213
Athens,2021-03-13,70,57
Athens,2021-03-14,18,27
Athens,2021-03-15,95,54
Athens,2021-03-16,546,51
Athens,2021-03-17,263,267
Athens,2021-03-18,607,338
Athens,2021-03-19,290,105
Athens,2021-03-20,110,12
Athens,2021-03-21,9,10
Athens,2021-03-22,149,57
Athens,2021-03-23,838,180
Athens,2021-03-24,383,342
Athens,2021-03-25,904,236
Athens,2021-03-26,218,157
Athens,2021-03-27,134,59
Athens,2021-03-28,16,14
Athens,2021-03-29,234,178
Athens,2021-03-30,442,625
Athens,2021-03-31,889,379
Athens,2021-04-01,902,582
Athens,2021-04-02,235,244
Athens,2021-04-03,106,73
Athens,2021-04-04,14,11
Athens,2021-04-05,125,82
Athens,2021-04-06,509,234
Athens,2021-04-07,591,452
Athens,2021-04-08,366,712
Athens,2021-04-09,328,230
Athens,2021-04-10,69,77
Athens,2021-04-11,34,14
Athens,2021-04-12,275,319
Athens,2021-04-13,319,224
Athens,2021-04-14,246,245
Athens,2021-04-15,72,1450
Athens,2021-04-16,155,365
Athens,2021-04-17,34,87
Athens,2021-04-18,29,24
Athens,2021-04-19,115,123
Athens,2021-04-20,166,229
Athens,2021-04-21,66,770
Athens,2021-04-22,54,961
Athens,2021-04-23,90,227
Athens,2021-04-24,28,136
Athens,2021-04-25,13,14
Athens,2021-04-26,88,118
Athens,2021-04-27,84,143
Athens,2021-04-28,74,572
Athens,2021-04-29,73,779
Athens,2021-04-30,82,468
Athens,2021-05-01,42,70
Athens,2021-05-02,14,15
Athens,2021-05-03,50,106
Athens,2021-05-04,58,111
Athens,2021-05-05,46,141
Athens,2021-05-06,136,440
Athens,2021-05-07,85,148
Athens,2021-05-08,22,43
Athens,2021-05-09,2,30
Athens,2021-05-10,24,42
Athens,2021-05-11,46,111
Athens,2021-05-12,30,101
Athens,2021-05-13,161,170
Athens,2021-05-14,51,72
Athens,2021-05-15,367,177
Athens,2021-05-16,13,31
Athens,2021-05-17,70,126
Athens,2021-05-18,319,170
Athens,2021-05-19,61,95
Athens,2021-05-20,69,67
Athens,2021-05-21,100,88
Athens,2021-05-22,36,34
Athens,2021-05-23,12,16
Athens,2021-05-24,80,80
Athens,2021-05-25,56,52
Athens,2021-05-26,58,63
Athens,2021-05-27,36,36
Athens,2021-05-28,61,46
Auglaize,2020-12-14,0,0
Auglaize,2020-12-15,0,0
Auglaize,2020-12-16,0,0
Auglaize,2020-12-17,1,0
Auglaize,2020-12-18,0,0
Auglaize,2020-12-19,0,0
Auglaize,2020-12-20,0,0
Auglaize,2020-12-21,13,0
Auglaize,2020-12-22,22,0
Auglaize,2020-12-23,52,0
Auglaize,2020-12-24,20,0
Auglaize,2020-12-25,0,0
Auglaize,2020-12-26,2,0
Auglaize,2020-12-27,1,0
Auglaize,2020-12-28,114,0
Auglaize,2020-12-29,120,0
Auglaize,2020-12-30,161,0
Auglaize,2020-12-31,13,0
Auglaize,2021-01-01,4,0
Auglaize,2021-01-02,2,0
Auglaize,2021-01-03,0,0
Auglaize,2021-01-04,58,0
Auglaize,2021-01-05,23,1
Auglaize,2021-01-06,90,0
Auglaize,2021-01-07,65,0
Auglaize,2021-01-08,116,1
Auglaize,2021-01-09,37,0
