Date Administered,* Jurisdiction,COVID-19 Doses Administered
1/26/2021,Clark,2
1/23/2021,Clark,2
1/22/2021,Clark,86
1/21/2021,Clark,20
1/20/2021,Clark,37
1/19/2021,Clark,6
1/18/2021,Clark,9
1/17/2021,Clark,1
1/15/2021,Clark,1
1/13/2021,Clark,1
1/12/2021,Clark,1
1/11/2021,Clark,4
1/7/2021,Clark,3
1/5/2021,Clark,1
1/2/2021,Clark,1
12/30/2020,Clark,3
12/29/2020,Clark,2
12/28/2020,Clark,3
12/23/2020,Clark,4
12/21/2020,Clark,3
4/25/2021,Christian,35
4/24/2021,Christian,417
4/23/2021,Christian,272
4/22/2021,Christian,298
4/21/2021,Christian,363
4/20/2021,Christian,328
4/19/2021,Christian,279
4/18/2021,Christian,76
4/17/2021,Christian,195
4/16/2021,Christian,388
4/15/2021,Christian,456
4/14/2021,Christian,543
4/13/2021,Christian,546
4/12/2021,Christian,664
4/11/2021,Christian,107
4/10/2021,Christian,282
4/9/2021,Christian,1402
4/8/2021,Christian,1007
4/7/2021,Christian,625
4/6/2021,Christian,879
4/5/2021,Christian,632
4/4/2021,Christian,116
4/3/2021,Christian,573
4/2/2021,Christian,823
4/1/2021,Christian,903
3/31/2021,Christian,921
3/30/2021,Christian,458
3/29/2021,Christian,509
3/28/2021,Christian,92
3/27/2021,Christian,563
3/26/2021,Christian,830
3/25/2021,Christian,486
3/24/2021,Christian,680
3/23/2021,Christian,602
3/22/2021,Christian,912
3/21/2021,Christian,133
3/20/2021,Christian,264
3/19/2021,Christian,817
3/18/2021,Christian,864
3/17/2021,Christian,446
3/16/2021,Christian,370
3/15/2021,Christian,430
3/14/2021,Christian,112
3/13/2021,Christian,331
3/12/2021,Christian,410
3/11/2021,Christian,525
3/10/2021,Christian,410
3/9/2021,Christian,694
3/8/2021,Christian,499
3/7/2021,Christian,93
3/6/2021,Christian,484
3/5/2021,Christian,988
3/4/2021,Christian,906
3/3/2021,Christian,804
3/2/2021,Christian,312
3/1/2021,Christian,541
2/28/2021,Christian,59
2/27/2021,Christian,648
2/26/2021,Christian,861
2/25/2021,Christian,332
2/24/2021,Christian,354
2/23/2021,Christian,237
2/22/2021,Christian,389
2/21/2021,Christian,15
2/20/2021,Christian,19
